Charter number,Year and quarter,Year,Quarter ,Credit Union name,Street  (Mailing address),City  (Mailing address),State (Mailing address),Zip code (Mailing address),Credit Union type,NCUA region,Low-income designation,Members,Total assets,Total loans,Total deposits,Return on average assets,Net worth ratio (excludes CECL transition provision),Loan-to-share ratio,"Total deposits, 4 quarter growth  (%)","Total loans,  4 quarter growth  (%)","Total assets,  4 quarter growth  (%)","Members, 4 quarter growth  (%)","Net worth,  4 quarter growth (excludes CECL transition provision) (%)",NCUA internal ID (join_number)
51,2024.1,2024,1,BROADVIEW,4 Winners Circle,Albany,NY,12205,FCU,1,Yes,488514,9188683539,6624179402,7518202700,0.17,7.88,88.11,2.11,11.76,10.93,4.05,2.8,32
53,2024.1,2024,1,MOTION,360 N Wood Ave,Linden,NJ,07036,FCU,1,No,5322,66199473,39089257,60433254,0.82,8.41,64.68,-8.48,1.24,-7.41,-3.27,10.6,33
60,2024.1,2024,1,LEVO,1741 S Cleveland Ave,Sioux Falls,SD,57103,FCU,3,No,34131,472972546,280507293,405684447,0.41,10.69,69.14,0.76,9.93,6.78,5.24,3.61,35
77,2024.1,2024,1,SERVICE FIRST,3901 East 10th Street,Sioux Falls,SD,57103,FCU,3,No,17793,214640898,133381615,201480386,-0.3,7.64,66.2,0.62,-10.6,0.84,-2.54,0.32,41
79,2024.1,2024,1,CAMPUS,P.O. Box 98036,Baton Rouge,LA,70898,FCU,2,Yes,43809,893332393,637116127,799000666,0.27,9.47,79.74,2.13,8.33,5.14,4.68,3.91,43
82,2024.1,2024,1,FIRST ATLANTIC,468 INDUSTRIAL WAY W,EATONTOWN,NJ,07724,FCU,1,No,24134,298103410,225355267,256947214,1.5,11.66,87.7,-1.79,-2.25,0.21,2.41,15.57,46
90,2024.1,2024,1,POST GAZETTE,2201 SWEENEY DR,CLINTON,PA,15026,FCU,1,No,1413,8232518,3920769,3159037,-0.2,61.47,124.11,-27.66,-4.13,-13.14,-0.49,-0.19,49
98,2024.1,2024,1,NIAGARA FALLS TEACHERS,6040 Lindbergh Ave,Niagara Falls,NY,14304,FCU,1,Yes,1273,12687659,5116357,10707790,0.37,15.74,47.78,-12.53,13.36,-10.73,-2.45,1.4,54
107,2024.1,2024,1,KEMBA ROANOKE,2812 W MAIN ST,SALEM,VA,24153,FCU,1,Yes,4998,76127679,25196772,64145173,0.3,15.56,39.28,-1.78,1.46,-1.06,-10.33,3.28,57
108,2024.1,2024,1,KEMBA CHARLESTON,1830 Roxalana Road,Dunbar,WV,25064,FCU,1,Yes,3675,45324728,17148171,36021998,0.03,18.7,47.6,1.0,3.39,1.6,-7.27,0.69,58
110,2024.1,2024,1,ITALO-AMERICAN,6652 Myrtle Ave,Glendale,NY,11385,FCU,1,Yes,562,39920415,29429077,34132009,0.41,13.13,86.22,11.84,8.59,11.08,4.66,2.61,59
119,2024.1,2024,1,TRIBORO POSTAL,"14202 20TH AVE, P.O. BOX 520487",FLUSHING,NY,11352,FCU,1,Yes,3893,96797615,13429245,87292427,-0.98,20.07,15.38,2.84,-6.98,-0.52,4.65,-8.86,62
120,2024.1,2024,1,COUNTY EDUCATORS,16 E Lincoln Ave,Roselle Park,NJ,07204,FCU,1,No,8833,120935626,44676675,110980938,0.5,8.58,40.26,-7.14,3.41,-6.43,-3.45,1.69,63
132,2024.1,2024,1,MOUNT VERNON NY POSTAL EMPLOYEES,15 South First Ave,Mount Vernon,NY,10550,FCU,1,Yes,160,1063019,174586,899414,1.21,15.07,19.41,-5.5,-8.66,-3.91,1.91,5.45,69
135,2024.1,2024,1,OMAHA,3001 S 82ND AVE,OMAHA,NE,68124,FCU,3,No,6254,86474786,54181646,76741133,1.0,10.55,70.6,0.36,4.5,0.42,2.81,14.37,70
138,2024.1,2024,1,VIGO COUNTY,126 S 3rd St,Terre Haute,IN,47807,FCU,2,Yes,9318,43355425,28655820,39766724,-0.01,8.7,72.06,-4.36,7.6,-2.55,-0.31,10.43,72
146,2024.1,2024,1,TEL-U-WATT,P. O. BOX 3070,MINOT,ND,58702,FCU,3,No,361,5424647,4377204,4945528,2.42,8.78,88.51,-6.95,8.13,-5.88,-1.1,2.7,74
147,2024.1,2024,1,NORTHERN STS PWR COMPANY EMP,1206 5TH AVE S,GRAND FORKS,ND,58201,FCU,3,No,123,1533582,1129259,1387586,0.75,9.51,81.38,-6.05,19.11,-5.13,-2.38,4.61,75
150,2024.1,2024,1,FEDCHOICE,10001 Willowdale Road,Lanham,MD,20706,FCU,1,Yes,24351,437761968,284414081,398416489,0.28,9.15,71.39,1.03,1.99,-8.73,1.0,4.98,77
151,2024.1,2024,1,JUSTICE,5175 Parkstone Drive Suite 200,Chantilly,VA,20151,FCU,1,Yes,63732,999566749,748022362,856536005,0.24,12.15,87.33,3.15,2.02,3.68,3.02,4.65,78
153,2024.1,2024,1,MERIDEN POSTAL EMPLOYEES,"Meriden Postal Emplyees FCU, 190 Ce",Meriden,CT,06450,FCU,1,No,78,418599,37320,327935,1.73,21.52,11.38,-17.13,-29.58,-13.8,-6.02,0.24,80
159,2024.1,2024,1,THREE RIVERS,PO BOX 2573,FORT WAYNE,IN,46801,FCU,2,No,118449,2402903065,1796231285,1870036644,1.06,12.12,96.05,5.6,4.9,6.92,2.46,9.67,83
162,2024.1,2024,1,TREASURY DEPARTMENT,PO BOX 27301,WASHINGTON,DC,20038,FCU,1,Yes,12251,180353228,106058811,162080956,0.82,9.06,65.44,-7.83,3.94,-6.08,-3.0,11.81,85
167,2024.1,2024,1,DAKOTALAND,"2297 Kansas Ave SE, Suite 1",Huron,SD,57350,FCU,3,Yes,39023,635306762,417331677,557740969,0.54,9.71,74.83,2.58,6.25,3.78,5.61,6.4,87
168,2024.1,2024,1,NORTHERN INDIANA,8121 Grand Blvd,Merrillville,IN,46410,FCU,2,Yes,5791,38852930,24569540,35148352,0.17,8.34,69.9,-4.09,-7.67,-2.91,0.77,4.67,88
169,2024.1,2024,1,GARY FIREFIGHTERS ASSOCIATION,200 E 5TH AVE,GARY,IN,46402,FCU,2,Yes,307,1783054,533387,1079802,-1.78,39.66,49.4,-21.46,1.37,-14.93,-7.53,-2.81,89
174,2024.1,2024,1,LOUISIANA,805 Robin Street,Laplace,LA,70068,FCU,2,Yes,35886,409228019,317401443,353300343,-0.06,12.95,89.84,-3.27,4.72,-2.89,0.56,2.55,91
176,2024.1,2024,1,EDUCATIONAL,7800 SW 117TH AVE,MIAMI,FL,33183,FCU,2,Yes,101510,1641127700,849987163,1400039615,0.72,15.74,60.71,0.03,8.0,1.29,10.42,3.57,92
187,2024.1,2024,1,FLORIDA A & M UNIVERSITY,1610 S Monroe St,Tallahassee,FL,32301,FCU,2,Yes,3951,29214266,11163763,24704492,-0.48,13.31,45.19,1.78,7.73,1.44,2.68,-3.56,100
195,2024.1,2024,1,NORTHWEST ARKANSAS,1460 NORTH WOOLSEY AVE,FAYETTEVILLE,AR,72703,FCU,2,Yes,2299,17704445,14780384,16153929,-0.79,8.52,91.5,6.17,0.0,6.31,6.58,7.96,104
196,2024.1,2024,1,GTE,711 E HENDERSON AVE,TAMPA,FL,33602,FCU,2,Yes,238585,2962767527,2392022905,2534477491,0.22,10.61,94.38,-1.45,-0.16,1.29,1.96,7.32,105
198,2024.1,2024,1,WHITING REFINERY,1339 119th St,Whiting,IN,46394,FCU,2,No,2031,53577265,20619817,39870657,-0.34,25.41,51.72,-4.05,12.82,-3.13,-0.05,-0.54,107
199,2024.1,2024,1,MEMBERS CHOICE OF CENTRAL TEXAS,PO BOX 20248,WACO,TX,76702,FCU,2,Yes,19811,212033762,151843202,184953642,0.01,14.93,82.1,-5.33,4.37,-3.9,-3.3,3.47,108
200,2024.1,2024,1,A T & T EMPLOYEES PITTSBURGH,635 Grant St,Pittsburgh,PA,15219,FCU,1,No,926,9858973,3897150,7170265,0.58,27.16,54.35,-2.12,23.47,-0.6,-0.54,3.57,109
205,2024.1,2024,1,ALLEGENT COMMUNITY,"1001 Liberty Ave, Suite 100",Pittsburgh,PA,15222,FCU,1,No,21445,278670327,179950008,232707509,0.15,16.38,77.33,0.08,10.0,0.06,5.7,3.08,112
216,2024.1,2024,1,FEDFINANCIAL,10903 New Hampshire Avenue Bldg 2,Silver Spring,MD,20903,FCU,1,No,4014,79902508,23948511,72798435,0.31,8.07,32.9,-8.43,20.65,-7.39,-1.21,2.6,116
220,2024.1,2024,1,HOPE,925 White Oaks Blvd.,Bridgeport,WV,26330,FCU,1,No,2387,39468542,19757371,31821250,1.02,19.33,62.09,8.78,16.48,7.83,2.71,4.8,117
224,2024.1,2024,1,MAGNOLIA,240 Briarwood Dr,Jackson,MS,39206,FCU,2,Yes,19777,158854847,104532083,127420779,1.77,20.54,82.04,-5.96,9.48,-4.14,2.38,11.84,119
227,2024.1,2024,1,PENTAGON,7940 JONES BRANCH DR,MCLEAN,VA,22102,FCU,8,No,2885762,34418948071,28081334002,29588555908,0.27,8.2,94.91,2.78,-5.76,-2.55,0.07,-2.85,121
233,2024.1,2024,1,INFIRST,6462 LITTLE RVER TPKE,ALEXANDRIA,VA,22312,FCU,1,Yes,14843,215058645,167322230,196305775,-0.28,8.72,85.24,-4.2,-12.97,-5.6,-1.22,-0.38,124
234,2024.1,2024,1,PITTSBURGH FIREFIGHTER'S,P.O. BOX 8577,PITTSBURGH,PA,15220,FCU,1,Yes,4632,82295847,30377359,65226174,1.02,20.32,46.57,-11.23,1.71,-8.84,-0.96,5.55,125
240,2024.1,2024,1,GREATER PITTSBURGH POLICE,1338 CHARTIERS AVE,PITTSBURGH,PA,15220,FCU,1,Yes,5757,80703928,38303765,64386673,2.41,19.85,59.49,-7.07,8.0,-3.53,0.1,12.41,128
242,2024.1,2024,1,GULF COAST COMMUNITY,12364 HIGHWAY 49,GULFPORT,MS,39503,FCU,2,Yes,11916,134803197,77551712,99288966,0.31,16.21,78.11,-2.24,2.68,4.15,0.53,2.73,129
256,2024.1,2024,1,ENERGY ONE,PO Box 701107,Tulsa,OK,74170,FCU,2,No,19177,288587043,160432736,252833458,0.17,10.74,63.45,3.74,-1.59,5.99,7.88,5.87,136
258,2024.1,2024,1,HOUSTON TEXAS FIRE FIGHTERS,PO Box 70009,Houston,TX,77270,FCU,2,No,17518,337648239,175420973,284360541,0.71,14.44,61.69,-0.96,6.32,-0.37,0.81,4.58,137
262,2024.1,2024,1,EP,P.O. Box 23393,Washington,DC,20026,FCU,1,Yes,4492,76531053,42353913,69535533,-0.06,7.39,60.91,-3.32,4.66,0.76,-2.67,-1.55,139
266,2024.1,2024,1,LIBRARY OF CONGRESS,PO Box 23766,WASHINGTON,DC,20026,FCU,1,No,10276,324779397,193869669,270377642,1.01,15.56,71.7,8.85,15.42,8.76,7.52,4.69,143
274,2024.1,2024,1,AREA,PO BOX 1495,ABERDEEN,SD,57402,FCU,3,No,11578,180200864,115589835,150702349,1.27,15.9,76.7,-1.02,5.86,1.24,-0.71,10.35,149
277,2024.1,2024,1,CLIFTON NJ POSTAL EMPLOYEES,PO Box 2033,Clifton,NJ,07015,FCU,1,Yes,265,2364991,589900,1428915,0.28,47.74,41.28,-15.65,-12.01,-9.16,-13.68,-0.37,152
287,2024.1,2024,1,USNE PENITENTIARY EMPLOYEES,30 E COURT,LEWISBURG,PA,17837,FCU,1,No,1255,13295173,5427430,11725463,0.32,11.8,46.29,-10.17,-5.68,-8.89,-2.11,2.01,154
288,2024.1,2024,1,FARGO VA,2101 N ELM,FARGO,ND,58102,FCU,3,Yes,1526,14229849,7807707,12698173,2.4,10.28,61.49,-3.32,2.66,-1.94,1.53,8.65,155
294,2024.1,2024,1,CME,150 E MOUND ST,COLUMBUS,OH,43215,FCU,2,No,38925,446373775,379924516,412025930,0.38,8.33,92.21,8.6,2.33,3.52,0.45,4.98,160
303,2024.1,2024,1,HERITAGE VALLEY,"P.O. BOX 3617, 2400 PLEASANT VALLEY",YORK,PA,17402,FCU,1,No,13525,117551284,64243375,108895627,-0.09,7.68,59.0,0.77,12.75,2.35,2.65,-6.11,166
306,2024.1,2024,1,MADISON COUNTY,621 E 8th St,Anderson,IN,46012,FCU,2,Yes,8984,112148285,65112425,101272508,1.48,9.12,64.29,-3.44,12.19,-2.0,-0.27,11.34,168
319,2024.1,2024,1,DEPARTMENT OF THE INTERIOR,1849 C ST NW RM B038,Washington,DC,20240,FCU,1,No,21107,302234730,250098029,267923694,-0.16,7.82,93.35,-3.32,-2.61,-3.21,-5.75,-5.5,173
320,2024.1,2024,1,F R B,PO Box 9867,Washington,DC,20016,FCU,1,No,5633,126806091,90162985,110674529,-0.26,8.7,81.47,-1.5,-2.98,-0.63,1.75,-1.97,174
340,2024.1,2024,1,RADIFI,PO Box 2357,Jacksonville,FL,32232,FCU,2,Yes,43331,594410470,415921896,518485930,1.29,10.59,80.22,-1.89,-0.41,0.39,0.96,4.86,183
352,2024.1,2024,1,TAMPA BAY,3815 N Nebraska Avenue,Tampa,FL,33603,FCU,2,Yes,34844,443828230,355506079,373592533,0.25,10.76,95.16,3.28,1.19,8.55,0.58,8.92,188
361,2024.1,2024,1,SPERO FINANCIAL,PO BOX 10708,GREENVILLE,SC,29603,FCU,2,Yes,50066,709834586,562470363,649155135,-0.43,8.42,86.65,2.07,3.69,-0.09,-1.29,-0.7,193
365,2024.1,2024,1,GP,906 N Broad St SE,Rome,GA,30161,FCU,2,Yes,7448,94848104,68134830,86680747,0.26,7.69,78.6,11.33,23.51,10.13,7.6,5.14,197
367,2024.1,2024,1,PEPCO,701 NINTH STREET NW SUITE 6230,WASHINGTON,DC,20001,FCU,1,Yes,1901,34392167,6396568,31443014,-0.63,8.19,20.34,-7.89,0.9,-7.17,-2.26,0.25,199
370,2024.1,2024,1,PPG & ASSOCIATES,101 Bailies Run Rd,Creighton,PA,15030,FCU,1,Yes,1757,21451450,5366861,19523295,-0.12,13.68,27.49,-5.64,8.42,-5.18,-1.57,0.1,201
373,2024.1,2024,1,NEW ALLIANCE,835 MERCHANT ST,AMBRIDGE,PA,15003,FCU,1,Yes,7544,98906010,55681052,90507109,0.15,8.0,61.52,1.24,14.42,0.96,0.23,-1.68,203
376,2024.1,2024,1,REGIONAL MEMBERS,P O BOX 9304,COLUMBUS,GA,31908,FCU,2,Yes,1275,9869754,6338382,8628584,1.88,11.68,73.46,-3.33,5.98,-1.91,0.39,10.2,206
378,2024.1,2024,1,FLORIDA CUSTOMS,"5519 W Hillsborough Ave, Suite 111",Tampa,FL,33634,FCU,2,No,1052,7574250,2211090,5804609,-0.04,23.29,38.09,-19.38,-13.67,-15.09,-0.75,2.2,208
383,2024.1,2024,1,ON THE GRID FINANCIAL,5901 Peachtree Dunwoody Rd Ste A275,Atlanta,GA,30328,FCU,2,Yes,4276,45548116,17877519,38916318,0.96,13.16,45.94,-7.41,3.53,-4.82,-3.74,8.37,211
389,2024.1,2024,1,CINCINNATI OHIO POLICE,959 W 8TH ST,CINCINNATI,OH,45203,FCU,2,No,10821,163328968,98771178,143934240,0.26,10.99,68.62,-0.25,6.61,-0.62,2.36,0.51,214
390,2024.1,2024,1,ELLIOTT COMMUNITY,920 NORTH FOURTH STREET,JEANNETTE,PA,15644,FCU,1,Yes,7014,51975710,28215882,45203995,0.55,12.96,62.42,2.21,40.33,5.9,-2.5,40.12,215
395,2024.1,2024,1,FIREFIGHTERS & COMPANY,338 S PATTERSON BLVD,DAYTON,OH,45402,FCU,2,Yes,7341,117928589,85529930,99217158,0.34,9.04,86.2,1.26,4.32,5.05,3.09,4.36,217
404,2024.1,2024,1,GREATER NEW ORLEANS,PO Box 6708,Metairie,LA,70009,FCU,2,Yes,14715,165925807,138266430,139761236,1.12,12.61,98.93,1.17,6.17,3.95,1.46,6.15,222
422,2024.1,2024,1,PITTSBURGH,317 Brownsville Road,Pittsburgh,PA,15210,FCU,1,Yes,1638,11679494,3937868,10562071,0.7,9.24,37.28,0.33,1.54,0.38,1.93,2.47,229
430,2024.1,2024,1,DEEPWATER INDUSTRIES,PO BOX 42,DEEPWATER,NJ,08023,FCU,1,Yes,9196,111571839,52128391,101292386,0.84,9.13,51.46,-4.39,6.87,-2.81,-2.19,4.76,232
435,2024.1,2024,1,STATE DEPARTMENT,1630 KING STREET,ALEXANDRIA,VA,22314,FCU,1,Yes,88878,2793355503,1413355519,2241397277,0.27,10.49,63.06,2.05,5.33,3.91,-0.19,4.7,235
444,2024.1,2024,1,SCA,2656 ELLWOOD RD UNIT 1,NEW CASTLE,PA,16101,FCU,1,No,1738,16306013,8044910,13539966,1.53,17.65,59.42,5.17,15.43,5.91,-0.69,7.77,239
452,2024.1,2024,1,SKYLINE FINANCIAL,3528 E Main St,Waterbury,CT,06705,FCU,1,No,3920,37992464,21647697,34558832,-0.03,7.45,62.64,-6.84,7.74,-7.12,-12.09,4.16,240
464,2024.1,2024,1,EAGLE ONE,P O Box 543,Claymont,DE,19703,FCU,1,Yes,9429,92338108,49159850,82933305,-0.17,9.28,59.28,-0.5,-3.23,-0.73,6.57,-6.97,246
473,2024.1,2024,1,RIVERTRUST,PO BOX 97997,PEARL,MS,39288,FCU,2,Yes,7527,165928841,91758144,143127671,1.0,18.07,64.11,-2.02,8.33,-0.99,1.25,0.96,252
475,2024.1,2024,1,INTEGRITY,971 WOOSTER RD W,BARBERTON,OH,44203,FCU,2,Yes,5611,65232743,34145254,59747494,0.68,8.24,57.15,4.54,-4.72,3.19,-2.03,8.3,253
477,2024.1,2024,1,THE ATLANTIC,P.O. Box 618,Kenilworth,NJ,07033,FCU,1,Yes,16069,259632653,192210244,226117499,-0.6,12.93,85.0,-0.19,6.18,-0.24,-5.44,-1.75,255
479,2024.1,2024,1,PARKVIEW COMMUNITY,2100 EDEN PARK BLVD,MCKEESPORT,PA,15132,FCU,1,Yes,7860,59733869,35200698,52294154,0.63,11.77,67.31,-3.27,-1.72,-2.13,-1.55,5.99,256
484,2024.1,2024,1,LYNN FIREMENS,30 Boston St Ste 9,Lynn,MA,01904,FCU,1,Yes,1531,18555318,12012659,15380905,2.35,17.05,78.1,5.97,11.32,7.7,2.55,18.12,257
489,2024.1,2024,1,PRIMETRUST FINANCIAL,3700 W BETHEL AVE,MUNCIE,IN,47304,FCU,2,Yes,18269,236420241,163249980,213489722,0.24,9.01,76.47,14.28,6.41,12.12,10.02,4.22,259
490,2024.1,2024,1,RAILS WEST,PO BOX 1450,POCATELLO,ID,83204,FCU,3,Yes,7969,74137247,41924298,65712667,0.99,9.5,63.8,-5.46,0.91,-3.62,-2.12,11.66,260
511,2024.1,2024,1,BFG,445 SOUTH MAIN ST,AKRON,OH,44311,FCU,2,No,21628,158861673,104669979,140359557,0.43,11.83,74.57,-8.75,6.41,-8.25,-3.73,2.38,271
514,2024.1,2024,1,BEN E KEITH COMPANY EMPLOYEES,PO Box 2628,Fort Worth,TX,76113,FCU,2,No,1706,11281352,5181928,9232503,1.39,17.7,56.13,-5.08,1.2,-3.25,-4.91,7.18,272
517,2024.1,2024,1,SEI,PO BOX 1466,POCATELLO,ID,83204,FCU,3,Yes,3214,32330167,28813174,29240597,0.3,8.75,98.54,0.57,2.56,0.68,1.61,1.93,274
524,2024.1,2024,1,BOSTON CUSTOMS,"10 Causeway Street, Room 436",Boston,MA,02222,FCU,1,No,345,2372188,1770963,2015789,0.76,15.0,87.85,-4.95,10.4,-7.57,1.17,1.97,276
528,2024.1,2024,1,UTAH FIRST,200 E SOUTH TEMPLE,SALT LAKE CITY,UT,84111,FCU,3,Yes,37659,973558968,780606200,736832393,1.07,9.68,105.94,7.01,10.46,8.08,4.23,13.34,277
538,2024.1,2024,1,GOVERNMENT PRINTING OFFICE,P.O. Box 77119,Washington,DC,20013,FCU,1,Yes,4512,28297015,16803358,25962145,-0.52,8.2,64.72,-6.64,5.24,-6.58,9.22,-4.57,282
566,2024.1,2024,1,NUVISION,7812 EDINGER AVE,HUNTINGTON BEAC,CA,92647,FCU,3,No,161878,3319681727,2540341886,2557819422,0.37,10.86,99.32,1.11,4.55,8.51,3.23,6.51,290
567,2024.1,2024,1,AMBRAW,PO Box 119,Lawrenceville,IL,62439,FCU,3,Yes,2152,15931173,4298989,14447342,0.64,8.92,29.76,-3.89,1.91,-2.66,-5.53,9.59,291
577,2024.1,2024,1,MEMBER PREFERRED,340 S Blue Mound Rd Ste 342,Fort Worth,TX,76131,FCU,2,No,1397,15868057,13832371,13617329,0.62,12.84,101.58,-0.64,-0.67,0.39,-1.06,3.53,293
594,2024.1,2024,1,PASADENA,100 W Walnut St Fl 8,Pasadena,CA,91124,FCU,3,No,25573,419766565,212360699,380120801,-0.04,8.61,55.87,41.8,43.08,45.03,82.56,58.56,302
606,2024.1,2024,1,COMTRUST,1020 RIVERFRONT PKWY,CHATTANOOGA,TN,37402,FCU,2,Yes,19618,410008400,96040958,363363307,-0.1,10.97,26.43,-0.31,0.93,-0.19,-3.97,0.28,307
609,2024.1,2024,1,NY FIREFIGHTERS BRAVEST,532 central ave,albany,NY,12206,FCU,1,Yes,4553,26701199,21460733,22550710,-0.05,9.81,95.17,6.78,-1.46,5.28,10.14,0.91,309
613,2024.1,2024,1,EMPIRE ONE,3020 Orchard Park Rd,West Seneca,NY,14224,FCU,1,Yes,5507,78469891,31429407,69892795,0.36,10.69,44.97,-8.78,-6.51,-7.97,-7.49,-0.56,311
616,2024.1,2024,1,NEW HORIZON,180 2ND ST SW,BARBERTON,OH,44203,FCU,2,Yes,2995,39010578,30761296,33741443,0.33,12.57,91.17,1.71,14.41,3.65,7.46,15.85,314
619,2024.1,2024,1,LAFAYETTE,2701 TOWER OAKS BLVD,ROCKVILLE,MD,20852,FCU,1,Yes,57411,2018967886,1567095414,1739819409,0.2,12.15,90.07,19.02,12.98,12.05,1.99,-5.43,316
620,2024.1,2024,1,POWER ONE,1520 Spy Run Ave,Fort Wayne,IN,46805,FCU,2,No,1397,17719078,14761815,15078376,0.33,14.59,97.9,-7.12,-0.01,-5.5,-2.51,4.52,317
624,2024.1,2024,1,UNITED STATES SENATE,1310 Braddock Pl,Alexandria,VA,22314,FCU,1,No,62441,1618357824,1166723508,1494421520,0.04,7.53,78.07,29.38,11.13,26.95,21.74,0.21,321
640,2024.1,2024,1,MAINE MEDIA,PO BOX 7702,PORTLAND,ME,04112,FCU,1,No,930,6427156,4113836,5403452,1.3,15.84,76.13,-4.52,21.13,-2.59,-1.38,9.24,328
644,2024.1,2024,1,TRAILHEAD,PO BOX 2788,PORTLAND,OR,97208,FCU,3,Yes,8800,176735875,114024934,137195963,0.19,9.08,83.11,-5.02,7.23,9.79,-0.95,5.09,330
648,2024.1,2024,1,HOWARD UNIVERSITY EMPLOYEES,2244 10th St NW,Washington,DC,20001,FCU,1,Yes,1170,10591046,6555224,10157103,-2.73,5.28,64.54,-11.23,0.7,-15.3,2.18,-53.55,334
649,2024.1,2024,1,VALLEY 1ST COMMUNITY,815 SCHOONMAKER AVE,MONESSEN,PA,15062,FCU,1,Yes,7142,98211762,48797608,74982728,1.22,22.64,65.08,-5.54,14.98,-3.37,3.3,3.74,335
663,2024.1,2024,1,PRIORITY PLUS,6 LYNAM ST,WILMINGTON,DE,19804,FCU,1,Yes,1919,24766420,9078724,20770579,0.08,16.0,43.71,5.67,13.07,5.14,-1.44,2.49,341
665,2024.1,2024,1,PENINSULA COMMUNITY,PO BOX 2150,SHELTON,WA,98584,FCU,3,Yes,20898,296448216,188416311,268061046,-0.06,10.45,70.29,1.02,5.43,1.48,2.98,1.3,342
678,2024.1,2024,1,FAMILY 1ST OF TEXAS,3501 Western Center Blvd,Fort Worth,TX,76137,FCU,2,No,1350,22258321,18561672,20685245,-3.35,6.2,89.73,-5.14,-11.83,-5.83,3.61,-17.7,348
680,2024.1,2024,1,ROCHESTER AREA STATE EMPLOYEES,P.O. Box 24680,Rochester,NY,14624,FCU,1,No,1570,17648986,8573104,15797936,-0.21,10.56,54.27,-1.06,5.63,-1.1,-6.77,-0.65,349
687,2024.1,2024,1,STAGEPOINT,365 N 3rd St,Laramie,WY,82072,FCU,3,Yes,5999,82295678,69745708,75183716,-0.54,8.57,92.77,5.38,-0.45,3.14,-10.14,3.96,352
690,2024.1,2024,1,CHATTANOOGA AREA SCHOOLS,PO BOX 3529,CHATTANOOGA,TN,37404,FCU,2,Yes,12037,180699511,80039864,156616724,-0.28,12.79,51.11,0.9,1.9,0.6,3.24,-3.04,353
716,2024.1,2024,1,BETHLEHEM 1ST,2317 EASTON AVE,BETHLEHEM,PA,18017,FCU,1,No,4491,68819950,23634861,63505731,0.96,10.95,37.22,-2.49,8.23,-0.86,-2.26,8.47,364
